REF DU MUSEE;NOM DU MUSEE;ANNEE;REGION;VILLE;DATE APPELLATION;PAYANT;GRATUIT;TYPE_ACCESSIBILITE;TOTAL;NOTE;ID MUSEOFILE;DEPARTEMENT;OBSERVATIONS
3155506;Musée du Vieux Toulouse;2003;OCCITANIE;TOULOUSE;01/02/2003;3252;141;MIXTE;3393;;;HAUTE-GARONNE;
3155501;Les Abattoirs, Musée d'Art Moderne et Contemporain;2003;OCCITANIE;TOULOUSE;01/02/2003;29652;63252;MIXTE;92904;;;HAUTE-GARONNE;
3155505;Musée Georges Labit;2003;OCCITANIE;TOULOUSE;01/02/2003;5148;14224;MIXTE;19372;;;HAUTE-GARONNE;
3155502;Musée Saint-Raymond;2003;OCCITANIE;TOULOUSE;01/02/2003;19724;38471;MIXTE;58195;;;HAUTE-GARONNE;
4610202;Musée Champollion;2003;OCCITANIE;FIGEAC;01/02/2003;25201;1347;MIXTE;26548;;;LOT;
4618201;"Musée Archéologique ""Armand-Viré""";2003;OCCITANIE;LUZECH;01/02/2003;780;253;MIXTE;1033;;;LOT;
4618501;Musée Gallo-Romain d'Uxellodunum;2003;OCCITANIE;MARTEL;01/02/2003;350;0;PAYANT;350;;;LOT;
4624001;Musée d'Art Sacré;2003;OCCITANIE;ROCAMADOUR;01/02/2003;4694;964;MIXTE;5658;;;LOT;
8100401;Musée Toulouse Lautrec;2003;OCCITANIE;ALBI;01/02/2003;108623;23361;MIXTE;131984;;;TARN;
8101201;Musée Eugénie et Maurice Guérin;2003;OCCITANIE;ANDILLAC;01/02/2003;2103;2893;MIXTE;4996;;;TARN;
8106502;Musée Jean Jaurès;2003;OCCITANIE;CASTRES;06/01/2002;1237;8427;MIXTE;9664;;;TARN;
8109101;Musée du protestantisme en Haut-Languedoc;2003;OCCITANIE;FERRIERES;01/02/2003;1031;462;MIXTE;1493;;;TARN;
8109901;Musée des Beaux-Arts;2003;OCCITANIE;GAILLAC;01/02/2003;1769;3957;MIXTE;5726;;;TARN;
8114501;Musée Raymond Lafage;2003;OCCITANIE;LISLE-SUR-TARN;01/02/2003;1074;235;MIXTE;1309;;;TARN;
8122001;Musée du Pays Rabastinois;2003;OCCITANIE;RABASTENS;01/02/2003;909;1064;MIXTE;1973;;;TARN;
8207501;Musée Théodore Calbet;2003;OCCITANIE;GRISOLLES;01/02/2003;0;2750;GRATUIT;2750;;;TARN-ET-GARONNE;
8211202;Musée des arts et traditions populaires;2003;OCCITANIE;MOISSAC;01/02/2003;4216;1109;MIXTE;5325;;;TARN-ET-GARONNE;
5935002;Palais des Beaux-Arts de Lille;2003;HAUTS-DE-FRANCE;LILLE;06/01/2002;84762;63052;MIXTE;147814;;;NORD;
5955501;Musée du Verre;2003;HAUTS-DE-FRANCE;SARS-POTERIES;01/02/2003;5356;3980;MIXTE;9336;;;NORD;
5900901;Musée d'Art Moderne de Lille Métropole;2003;HAUTS-DE-FRANCE;VILLENEUVE-D'ASCQ;01/02/2003;60833;18131;MIXTE;78964;;;NORD;
6231801;Musée Quentovic;2003;HAUTS-DE-FRANCE;ETAPLES-SUR-MER;01/02/2003;2743;1357;MIXTE;4100;;;PAS-DE-CALAIS;
6282601;Musée Municipal;2003;HAUTS-DE-FRANCE;LE TOUQUET-PARIS-PLAGE;01/02/2003;6903;4019;MIXTE;10922;;;PAS-DE-CALAIS;
1436601;Musée d'Art et d'Histoire de Lisieux;2003;NORMANDIE;LISIEUX;01/02/2003;380;615;MIXTE;995;;;CALVADOS;
5061501;Musée Régional du Cidre et du Calvados;2003;NORMANDIE;VALOGNES;01/02/2003;7108;900;MIXTE;8008;;;MANCHE;
6100101;Musée des Beaux-Arts et de la Dentelle;2003;NORMANDIE;ALENCON;01/02/2003;9614;10504;MIXTE;20118;;;ORNE;
6116901;Musée du Château de Flers;2003;NORMANDIE;FLERS;11/11/2002;2339;2852;MIXTE;5191;;;ORNE;
6129301;Musée du Percheron;2003;NORMANDIE;MORTAGNE-AU-PERCHE;01/02/2003;0;843;GRATUIT;843;;;ORNE;
6146401;Musée Départemental d'Art Sacré;2003;NORMANDIE;SEES;01/02/2003;961;0;PAYANT;961;;;ORNE;
2716501;Musée du Verre et de la Pierre;2003;NORMANDIE;CONCHES-EN-OUCHE;01/02/2003;1282;587;MIXTE;1869;;;EURE;
7615701;Pavillon Flaubert;2003;NORMANDIE;CANTELEU;01/02/2003;778;0;PAYANT;778;;;SEINE-MARITIME;
7616402;Maison des Templiers;2003;NORMANDIE;CAUDEBEC-EN-CAUX;01/02/2003;774;121;MIXTE;895;;;SEINE-MARITIME;
7616401;Musée de la Marine de Seine;2003;NORMANDIE;CAUDEBEC-EN-CAUX;01/02/2003;4673;2195;MIXTE;6868;;;SEINE-MARITIME;
7621701;Château-Musée de Dieppe;2003;NORMANDIE;DIEPPE;25/05/2002;35305;6379;MIXTE;41684;;;SEINE-MARITIME;
7634101;Musée du Prieuré;2003;NORMANDIE;HARFLEUR;01/02/2003;218;4679;MIXTE;4897;;;SEINE-MARITIME;
7646201;Musée Mathon-Durand;2003;NORMANDIE;NEUFCHATEL-EN-BRAY;01/02/2003;475;1364;MIXTE;1839;;;SEINE-MARITIME;
7654005;Musée des Beaux-Arts;2003;NORMANDIE;ROUEN;06/01/2002;37649;34279;MIXTE;71928;;;SEINE-MARITIME;
4401501;Musée de la Fève, Crèches et Traditions Populaires;2003;PAYS DE LA LOIRE;BLAIN;01/02/2003;3211;568;MIXTE;3779;;;LOIRE-ATLANTIQUE;
4416801;Musées du Parc Naturel Régional de Brière;2003;PAYS DE LA LOIRE;SAINT-JOACHIM;01/02/2003;2986;45;MIXTE;3031;;;LOIRE-ATLANTIQUE;"4416801 ; 4417501 ; 4417601"
4417601;Maison de l'Eclusier /Parc Naturel Régional de Brière;2003;PAYS DE LA LOIRE;SAINT-MALO DE GUERSAC;01/02/2003;2893;34;MIXTE;2927;;;LOIRE-ATLANTIQUE;"4416801 ; 4417501 ; 4417601"
4902101;Musée Joseph Denais;2003;PAYS DE LA LOIRE;BEAUFORT-EN-VALLEE;06/10/2002;1562;1143;MIXTE;2705;;;MAINE-ET-LOIRE;
4909904;Musée du Textile;2003;PAYS DE LA LOIRE;CHOLET;06/04/2002;5721;5455;MIXTE;11176;;;MAINE-ET-LOIRE;
4929201;Musée de la Vigne et du Vin d'Anjou;2003;PAYS DE LA LOIRE;SAINT LAMBERT-DU-LATTAY - VAL-DU-LAYON;17/06/2002;7118;1516;MIXTE;8634;;;MAINE-ET-LOIRE;
4935301;Musée de l'Ardoise;2003;PAYS DE LA LOIRE;TRELAZE;01/02/2003;5485;2350;MIXTE;7835;;;MAINE-ET-LOIRE;
5300301;Musée des Tisserands Mayennais;2003;PAYS DE LA LOIRE;AMBRIERES-LES-VALLEES;01/02/2003;386;51;MIXTE;437;;;MAYENNE;
5306201;Musée d'Art et d'Archéologie Hôtel Fouquet;2003;PAYS DE LA LOIRE;CHATEAU-GONTIER;01/02/2003;74;289;MIXTE;363;;;MAYENNE;
5312201;Musée Archéologique Départemental de Jublains;2003;PAYS DE LA LOIRE;JUBLAINS;18/07/2002;12736;21389;MIXTE;34125;;;MAYENNE;
8508701;Centre Minier de Faymoreau;2003;PAYS DE LA LOIRE;FAYMOREAU;01/02/2003;19387;7600;MIXTE;26987;;;VENDEE;
8519401;Musée de l'Abbaye de Sainte-Croix;2003;PAYS DE LA LOIRE;LES SABLES D'OLONNE;01/02/2003;4628;10554;MIXTE;15182;;;VENDEE;
8514601;Musée du Nord de la Vendée;2003;PAYS DE LA LOIRE;MONTAIGU;01/02/2003;0;365;GRATUIT;365;;;VENDEE;
8516301;Musée de la Construction Navale Artisanale;2003;PAYS DE LA LOIRE;NOIRMOUTIER EN L'ILE;01/02/2003;13198;1149;MIXTE;14347;;;VENDEE;
209301;Musée du Château de Blérancourt;2003;HAUTS-DE-FRANCE;BLERANCOURT;06/01/2002;2894;1715;MIXTE;4609;;;AISNE;
230401;Musée Jeanne d'Aboville;2003;HAUTS-DE-FRANCE;LA FERE;01/02/2003;398;313;MIXTE;711;;;AISNE;
281001;Musée Alexandre Dumas;2003;HAUTS-DE-FRANCE;VILLERS COTTERETS;01/02/2003;2285;433;MIXTE;2718;;;AISNE;
6015905;Musée de la Figurine Historique;2003;HAUTS-DE-FRANCE;COMPIEGNE;01/02/2003;4187;5244;MIXTE;9431;;;OISE;
6047101;Musée du Noyonnais;2003;HAUTS-DE-FRANCE;NOYON;01/02/2003;936;2409;MIXTE;3345;;;OISE;
6061203;Musée de la Vénerie;2003;HAUTS-DE-FRANCE;SENLIS;01/02/2003;5573;3715;MIXTE;9288;;;OISE;
8002102;Musée de l'Hôtel de Berny;2003;HAUTS-DE-FRANCE;AMIENS;01/02/2003;277;2716;MIXTE;2993;;;SOMME;
1715301;Musée de la Mytiliculture;2003;NOUVELLE-AQUITAINE;ESNANDES;01/02/2003;2801;158;MIXTE;2959;;;CHARENTE-MARITIME;
1730002;Musée du Nouveau Monde;2003;NOUVELLE-AQUITAINE;LA ROCHELLE;26/05/2002;4765;5340;MIXTE;10105;;;CHARENTE-MARITIME;
1730003;Musée des Beaux-Arts;2003;NOUVELLE-AQUITAINE;LA ROCHELLE;26/05/2002;6127;2173;MIXTE;8300;;;CHARENTE-MARITIME;
1730005;Musée Protestant;2003;NOUVELLE-AQUITAINE;LA ROCHELLE;01/02/2003;1506;214;MIXTE;1720;;;CHARENTE-MARITIME;
1741503;Musée Archéologique;2003;NOUVELLE-AQUITAINE;SAINTES;01/02/2003;1410;31613;MIXTE;33023;;;CHARENTE-MARITIME;
1738501;Musée de l'Ile d'Oléron;2003;NOUVELLE-AQUITAINE;ST-PIERRE D'OLERON;01/02/2003;2375;0;PAYANT;2375;;;CHARENTE-MARITIME;
7904901;Musée de Bressuire;2003;NOUVELLE-AQUITAINE;BRESSUIRE;01/02/2003;0;8040;GRATUIT;8040;;;DEUX-SEVRES;
8606602;Musée Municipal de l'Hôtel de Sully;2003;NOUVELLE-AQUITAINE;CHATELLERAULT;01/02/2003;1422;1606;MIXTE;3028;;;VIENNE;
8619401;Musée Rupert de Chièvres;2003;NOUVELLE-AQUITAINE;POITIERS;06/01/2002;959;1721;MIXTE;2680;;;VIENNE;
8619402;Musée Sainte-Croix;2003;NOUVELLE-AQUITAINE;POITIERS;06/01/2002;5000;13157;MIXTE;18157;;;VIENNE;
416601;Musée Archéologique;2003;PROVENCE-ALPES-CÔTE D'AZUR;RIEZ-LA-ROMAINE;01/02/2003;897;112;MIXTE;1009;;;ALPES DE HAUTE PROVENCE;
422701;Musée archéologique;2003;PROVENCE-ALPES-CÔTE D'AZUR;VACHERES;01/02/2003;1260;134;MIXTE;1394;;;ALPES DE HAUTE PROVENCE;
606901;Villa-Musée Jean-Honoré Fragonard;2003;PROVENCE-ALPES-CÔTE D'AZUR;GRASSE;01/02/2003;94;155;MIXTE;249;;;ALPES-MARITIMES;
606903;Musée International de la Parfumerie;2003;PROVENCE-ALPES-CÔTE D'AZUR;GRASSE;01/02/2003;41276;0;PAYANT;41276;;;ALPES-MARITIMES;
608813;Musée d'Art Moderne et d'Art Contemporain;2003;PROVENCE-ALPES-CÔTE D'AZUR;NICE;01/02/2003;48758;41218;MIXTE;89976;;;ALPES-MARITIMES;
615502;Musée Picasso la guerre et la paix à Vallauris;2003;PROVENCE-ALPES-CÔTE D'AZUR;VALLAURIS;06/01/2002;21801;7882;MIXTE;29683;;;ALPES-MARITIMES;
1300404;Muséon Arlaten;2003;PROVENCE-ALPES-CÔTE D'AZUR;ARLES;01/02/2003;20105;14087;MIXTE;34192;;;BOUCHES DU RHONE;
1300405;Musée Départemental de l'Arles Antique;2003;PROVENCE-ALPES-CÔTE D'AZUR;ARLES;01/02/2003;35788;39075;MIXTE;74863;;;BOUCHES DU RHONE;
1302201;Musée Municipal Méditerranéen de Cassis A.T.P.;2003;PROVENCE-ALPES-CÔTE D'AZUR;CASSIS;01/02/2003;0;5300;GRATUIT;5300;;;BOUCHES DU RHONE;
1303801;Musée Alphonse Daudet;2003;PROVENCE-ALPES-CÔTE D'AZUR;FONTVIEILLE;01/02/2003;40700;0;PAYANT;40700;;;BOUCHES DU RHONE;
1301103;Musée d'Histoire et d'Archéologie des Baux-de-Provence (Château);2003;PROVENCE-ALPES-CÔTE D'AZUR;LES BAUX DE PROVENCE;01/02/2003;274402;0;PAYANT;274402;;;BOUCHES DU RHONE;
1320101;Musée Grobet-Labadié;2003;PROVENCE-ALPES-CÔTE D'AZUR;MARSEILLE;01/02/2003;2207;8200;MIXTE;10407;;;BOUCHES DU RHONE;
1305509;Musée de la Mode;2003;PROVENCE-ALPES-CÔTE D'AZUR;MARSEILLE;01/02/2003;5997;6236;MIXTE;12233;;;BOUCHES DU RHONE;
1320801;Musée de la Faïence;2003;PROVENCE-ALPES-CÔTE D'AZUR;MARSEILLE;01/02/2003;3774;10426;MIXTE;14200;;;BOUCHES DU RHONE;
1320402;Muséum d'Histoire Naturelle;2003;PROVENCE-ALPES-CÔTE D'AZUR;MARSEILLE;06/01/2002;4132;32434;MIXTE;36566;;;BOUCHES DU RHONE;
8301901;Musée des Arts et d’Histoire;2003;PROVENCE-ALPES-CÔTE D'AZUR;BORMES-LES-MIMOSAS;01/02/2003;0;13786;GRATUIT;13786;;;VAR;
8305001;Musée Municipal;2003;PROVENCE-ALPES-CÔTE D'AZUR;DRAGUIGNAN;01/02/2003;0;7643;GRATUIT;7643;;;VAR;
8313201;Musée du Vêtement Provençal (Jean Aicard);2003;PROVENCE-ALPES-CÔTE D'AZUR;SOLLIES-VILLE;01/02/2003;0;3505;GRATUIT;3505;;;VAR;
8403103;Musée Comtadin-Duplessis;2003;PROVENCE-ALPES-CÔTE D'AZUR;CARPENTRAS;01/02/2003;882;855;MIXTE;1737;;;VAUCLUSE;
8403105;Musée Sobirats;2003;PROVENCE-ALPES-CÔTE D'AZUR;CARPENTRAS;01/02/2003;620;573;MIXTE;1193;;;VAUCLUSE;
8408701;Musée Municipal;2003;PROVENCE-ALPES-CÔTE D'AZUR;ORANGE;01/02/2003;62636;0;PAYANT;62636;;;VAUCLUSE;
8412301;Musée Municipal;2003;PROVENCE-ALPES-CÔTE D'AZUR;SAULT;01/02/2003;0;1062;GRATUIT;1062;;;VAUCLUSE;
105301;Musée du Brou;2003;AUVERGNE-RHONE-ALPES;BOURG-EN-BRESSE;01/02/2003;47463;23136;MIXTE;70599;;;AIN;
130501;Musée Chintreuil;2003;AUVERGNE-RHONE-ALPES;PONT-DE-VAUX;01/02/2003;5133;944;MIXTE;6077;;;AIN;
701001;Musée Vivarois César Filhol;2003;AUVERGNE-RHONE-ALPES;ANNONAY;01/02/2003;916;1097;MIXTE;2013;;;ARDECHE;
731301;Musée de la Batellerie du Rhône;2003;AUVERGNE-RHONE-ALPES;SERRIERES;01/02/2003;1308;0;PAYANT;1308;;;ARDECHE;
731601;Musée et Site Archéologiques;2003;AUVERGNE-RHONE-ALPES;SOYONS;01/02/2003;8000;2000;MIXTE;10000;;;ARDECHE;
732401;Musée du Rhône;2003;AUVERGNE-RHONE-ALPES;TOURNON-SUR-RHÔNE;01/02/2003;5275;3059;MIXTE;8334;;;ARDECHE;
2611301;Musée d'Histoire et d'Archéologie;2003;AUVERGNE-RHONE-ALPES;DIE;01/02/2003;535;683;MIXTE;1218;;;DRÔME;
2628101;Musée International de la Chaussure;2003;AUVERGNE-RHONE-ALPES;ROMANS;01/02/2003;20117;13583;MIXTE;33700;;;DRÔME;
7405601;Musée Alpin;2003;AUVERGNE-RHONE-ALPES;CHAMONIX;01/02/2003;18479;5823;MIXTE;24302;;;HAUTE-SAVOIE;
7415201;Musée Léon Marès;2003;AUVERGNE-RHONE-ALPES;LOVAGNY;01/02/2003;22387;0;PAYANT;22387;;;HAUTE-SAVOIE;
7428001;Musée des Vallées de Thônes;2003;AUVERGNE-RHONE-ALPES;THONES;01/02/2003;1838;617;MIXTE;2455;;;HAUTE-SAVOIE;
7428102;Musée du Chablais;2003;AUVERGNE-RHONE-ALPES;THONON-LES-BAINS;01/02/2003;2072;1063;MIXTE;3135;;;HAUTE-SAVOIE;
3819101;Musée d'Huez et de l'Oisans;2003;AUVERGNE-RHONE-ALPES;ALPE D'HUEZ;01/02/2003;3362;1290;MIXTE;4652;;;ISERE;
3815101;Musée Géo-Charles;2003;AUVERGNE-RHONE-ALPES;ECHIROLLES;01/02/2003;982;2187;MIXTE;3169;;;ISERE;
3818507;Musée Stendhal;2003;AUVERGNE-RHONE-ALPES;GRENOBLE;01/02/2003;0;6001;GRATUIT;6001;;;ISERE;
3854401;Musée-Cloître Saint-André-Le-Bas;2003;AUVERGNE-RHONE-ALPES;VIENNE;01/02/2003;9204;0;PAYANT;9204;;;ISERE;
3854402;Musée Lapidaire Saint-Pierre;2003;AUVERGNE-RHONE-ALPES;VIENNE;01/02/2003;5962;0;PAYANT;5962;;;ISERE;
4205203;Musée Hospitalier;2003;AUVERGNE-RHONE-ALPES;CHARLIEU;01/02/2003;3486;1616;MIXTE;5102;;;LOIRE;
4214701;Musée d'Allard;2003;AUVERGNE-RHONE-ALPES;MONTBRISON;01/02/2003;5344;5600;MIXTE;10944;;;LOIRE;
4231801;Musée Rural;2003;AUVERGNE-RHONE-ALPES;USSON-EN-FOREZ;01/02/2003;4996;1353;MIXTE;6349;;;LOIRE;
6901801;Musée Folklorique et Traditions Populaires Marius Audin;2003;AUVERGNE-RHONE-ALPES;BEAUJEU;01/02/2003;4651;814;MIXTE;5465;;;RHÔNE;
7300801;Musée du docteur Faure;2003;AUVERGNE-RHONE-ALPES;AIX-LES-BAINS;01/02/2003;10753;4684;MIXTE;15437;;;SAVOIE;
7306501;Musée des Beaux-Arts;2003;AUVERGNE-RHONE-ALPES;CHAMBERY;06/01/2002;5483;15780;MIXTE;21263;;;SAVOIE;
7306503;Musée des Charmettes;2003;AUVERGNE-RHONE-ALPES;CHAMBERY;06/01/2002;2338;7743;MIXTE;10081;;;SAVOIE;
6743701;Musée du Château des Rohan;2004;GRAND EST;SAVERNE;01/02/2003;7225;5705;MIXTE;12930;;;BAS-RHIN;
6748209;Musée d'Art Moderne et Contemporain de Strasbourg;2004;GRAND EST;STRASBOURG;01/02/2003;69843;101994;MIXTE;171837;;;BAS-RHIN;
6824801;Maison du Sundgau - Musée Paysan;2004;GRAND EST;OLTINGUE;01/02/2003;2184;468;MIXTE;2652;;;HAUT-RHIN;
6827702;Musée du Dolder;2004;GRAND EST;RIQUEWIHR;01/02/2003;6510;495;MIXTE;7005;;;HAUT-RHIN;
6833401;Musée des Amis de Thann;2004;GRAND EST;THANN;01/02/2003;642;1200;MIXTE;1842;;;HAUT-RHIN;
6834301;Ecomusée d'Alsace;2004;GRAND EST;UNGERSHEIM;01/02/2003;266791;43126;MIXTE;309917;;;HAUT-RHIN;
2452001;Musée-Aquarium;2004;NOUVELLE-AQUITAINE;CREYSSE;01/02/2003;5068;0;PAYANT;5068;;;DORDOGNE;
2415201;Musée Paul Reclus;2004;NOUVELLE-AQUITAINE;DOMME;01/02/2003;0;15300;GRATUIT;15300;;;DORDOGNE;
2429901;Musée des Arts et Traditions Populaires du Périgord;2004;NOUVELLE-AQUITAINE;MUSSIDAN;01/02/2003;1299;1228;MIXTE;2527;;;DORDOGNE;
